Sand %,	Water %,	Observed Condition,	ADC Raw Value,	Cali Voltage (mV),	Voltage (V),	Notes
100,	0,	seco,	684,	354,	354,	
100,	0,	seco,	585,	325,	325,
100,	0,	seco,	734,	395,	395,	
90,	10,	seco,	915,	875,	875,	
90,	10,	seco,	863,	753,	753,	
90,	10,	seco,	1087,	932,	932,	
80,	20,	seco,	1362,	1156,	1156,	
80,	20,	seco,	1724,	1593,	1593,	
80,	20,	seco,	1583,	1379,	1379,	
70,	30,	humedo,	2008,	1864,	1864,	
70,	30,	humedo,	2209,	1968,	1968,	
70,	30,	humedo,	2590,	2255,	2255,	
60,	40,	humedo,	2661,	2313,	2313,	
60,	40,	humedo,	2660,	2312,	2312,	
60,	40,	humedo,	2654,	2307,	2307,	
50,	50,	mojado,	2623,	2282,	2282,	
50,	50,	mojado,	2631,	2289,	2289,	
50,	50,	mojado,	2625,	2284,	2284,	
40,	60,	mojado,	2622,	2281,	2281,	
40,	60,	mojado,	2617,	2277,	2277,	
40,	60,	mojado,	2992,	2565,	2565,	
30,	70,	charquito,	2941,	2529,	2529,	
30,	70,	charquito,	2911,	2512,	2512,	
30,	70,	charquito,	2948,	2533,	2533,	
20,	80,	charquito,	2960,	2542,	2542,	
20,	80,	charquito,	2971,	2549,	2549,	
20,	80,	charquito,	2987,	2561,	2561,	
10,	90,	lago,	3011,	2578,	2578,	
10,	90,	lago,	2999,	2570,	2576,	
10,	90,	lago,	2995,	2567,	2567,	
10,	90,	lago,	3769,	2948,	2948,	
10,	90,	lago,	3592,	3045,	3045,	
10,	90,	lago,	3873,	3156,	3156,	
